TPC_res,TPC_res_err,EPD_res,EPD_res_err
0.101729,0.000527149,0.0208503,0.00256776
0.148385,0.000338146,0.0271885,0.0018464
0.22564,0.00020782,0.0455751,0.00103077
0.314539,0.000150327,0.0698558,0.00068168
0.388942,0.000117188,0.0959921,0.000482959
0.428781,0.000105847,0.114197,0.000407612
0.406548,0.000112096,0.114672,0.000405608
0.324694,0.000201875,0.0914717,0.000722653
0.219336,0.000299667,0.0562092,0.00117152
