piplus_counts,piminus_counts,proton_counts,antiproton_counts,kplus_counts,kminus_counts,piplus_v2_TPC,piminus_v2_TPC,proton_v2_TPC,antiproton_v2_TPC,kplus_v2_TPC,kminus_v2_TPC,piplus_v2_err_TPC,piminus_v2_err_TPC,proton_v2_err_TPC,antiproton_v2_err_TPC,kplus_v2_err_TPC,kminus_v2_err_TPC,piplus_v2_EPD,piminus_v2_EPD,proton_v2_EPD,antiproton_v2_EPD,kplus_v2_EPD,kminus_v2_EPD,piplus_v2_err_EPD,piminus_v2_err_EPD,proton_v2_err_EPD,antiproton_v2_err_EPD,kplus_v2_err_EPD,kminus_v2_err_EPD
3.18465e+08,3.2933e+08,5.80458e+07,1.12656e+07,2.42946e+07,1.67108e+07,0.00382545,0.00377324,0.00669166,0.00577495,0.00535998,0.00446617,5.60378e-05,5.51072e-05,0.00013116,0.000297766,0.00020278,0.000244417,0.000571057,0.000484976,0.000908958,0.000574447,0.000973275,0.000586353,3.9624e-05,3.8965e-05,9.28091e-05,0.00021068,0.000143462,0.000172995
6.74398e+08,6.98009e+08,1.28207e+08,2.26884e+07,5.50418e+07,3.75714e+07,0.00586554,0.00608998,0.00945598,0.00756059,0.00704622,0.00635428,3.84964e-05,3.78408e-05,8.82875e-05,0.000209859,0.000134755,0.000163117,0.00101172,0.00104316,0.00153019,0.0013439,0.00108138,0.00104387,2.72285e-05,2.67645e-05,6.24514e-05,0.000148468,9.53177e-05,0.000115362
1.36766e+09,1.41811e+09,2.72645e+08,4.34835e+07,1.20686e+08,8.11112e+07,0.00993094,0.0101832,0.0150186,0.012366,0.0115168,0.0107594,2.70382e-05,2.65527e-05,6.05532e-05,0.000151653,9.10198e-05,0.000111027,0.00182333,0.00193191,0.00292653,0.00230089,0.00219775,0.00202016,1.91205e-05,1.87771e-05,4.28233e-05,0.000107236,6.43667e-05,7.851e-05
2.2149e+09,2.30168e+09,4.59048e+08,6.60434e+07,2.08875e+08,1.37946e+08,0.0147356,0.0151847,0.022044,0.0176239,0.0172924,0.0158218,2.12455e-05,2.0841e-05,4.66619e-05,0.00012303,6.91807e-05,8.51262e-05,0.00316659,0.00322599,0.00472619,0.00384523,0.0037433,0.00340537,1.50246e-05,1.47387e-05,3.30029e-05,8.70133e-05,4.89249e-05,6.02057e-05
3.65485e+09,3.80785e+09,7.79916e+08,1.01875e+08,3.62457e+08,2.35424e+08,0.0181023,0.0187343,0.0265406,0.0209076,0.0209244,0.0193709,1.6538e-05,1.62021e-05,3.57922e-05,9.90484e-05,5.25084e-05,6.51627e-05,0.00427715,0.00443164,0.0063385,0.00493148,0.00497468,0.004527,1.16962e-05,1.14589e-05,2.53193e-05,7.00595e-05,3.71409e-05,4.60833e-05
5.43332e+09,5.67493e+09,1.18267e+09,1.41485e+08,5.58241e+08,3.57377e+08,0.0180672,0.0187857,0.0258522,0.0197946,0.0207294,0.0191694,1.35639e-05,1.32719e-05,2.90676e-05,8.4056e-05,4.23129e-05,5.2886e-05,0.00461992,0.00478978,0.006693,0.00503809,0.00531001,0.00499172,9.59288e-06,9.38642e-06,2.0561e-05,5.94473e-05,2.99272e-05,3.74041e-05
7.88482e+09,8.25376e+09,1.73589e+09,1.91923e+08,8.28292e+08,5.23912e+08,0.0135374,0.0141506,0.0188185,0.0138535,0.0153186,0.0141592,1.12607e-05,1.1006e-05,2.3997e-05,7.21799e-05,3.4741e-05,4.36849e-05,0.00357972,0.00372747,0.00501143,0.00365536,0.00410491,0.0037402,7.9632e-06,7.78312e-06,1.69714e-05,5.10399e-05,2.45686e-05,3.08925e-05
5.10232e+09,5.34802e+09,1.12643e+09,1.18231e+08,5.40748e+08,3.39897e+08,0.00773563,0.00811021,0.0104203,0.00726721,0.00860115,0.00802135,1.39994e-05,1.36741e-05,2.97942e-05,9.19651e-05,4.3003e-05,5.42396e-05,0.0019721,0.00205295,0.00268708,0.00194477,0.00217028,0.00207492,9.89918e-06,9.66911e-06,2.10682e-05,6.50306e-05,3.04081e-05,3.83542e-05
6.25462e+09,6.56115e+09,1.36969e+09,1.3929e+08,6.61422e+08,4.14971e+08,0.00356889,0.00373337,0.00454309,0.00282011,0.00387322,0.00354738,1.26444e-05,1.23457e-05,2.70201e-05,8.47362e-05,3.8884e-05,4.9088e-05,0.000733187,0.000768531,0.000944075,0.000615381,0.000795251,0.000639011,8.94106e-06,8.72959e-06,1.91062e-05,5.99111e-05,2.74947e-05,3.47115e-05
