piplus_counts,piminus_counts,proton_counts,antiproton_counts,kplus_counts,kminus_counts,piplus_v2_TPC,piminus_v2_TPC,proton_v2_TPC,antiproton_v2_TPC,kplus_v2_TPC,kminus_v2_TPC,piplus_v2_err_TPC,piminus_v2_err_TPC,proton_v2_err_TPC,antiproton_v2_err_TPC,kplus_v2_err_TPC,kminus_v2_err_TPC,piplus_v2_EPD,piminus_v2_EPD,proton_v2_EPD,antiproton_v2_EPD,kplus_v2_EPD,kminus_v2_EPD,piplus_v2_err_EPD,piminus_v2_err_EPD,proton_v2_err_EPD,antiproton_v2_err_EPD,kplus_v2_err_EPD,kminus_v2_err_EPD
2.07248e+08,2.16058e+08,3.77865e+07,6.07211e+06,1.48487e+07,9.83725e+06,0.00349465,0.00356054,0.00625984,0.00511499,0.00472129,0.00423279,7.14384e-05,6.99719e-05,0.00016624,0.000415039,0.000265285,0.00032587,0.000442647,0.000416602,0.000661919,0.000263133,0.000769497,0.000151104,4.91187e-05,4.81061e-05,0.000115026,0.000286961,0.000183519,0.000225421
4.19426e+08,4.37665e+08,8.09005e+07,1.16338e+07,3.24586e+07,2.12579e+07,0.00548343,0.00553048,0.00844058,0.0065603,0.00655813,0.00562858,4.95415e-05,4.85003e-05,0.00011245,0.000296659,0.000177569,0.000219505,0.000853378,0.000794697,0.0013069,0.00123035,0.000940008,0.000742251,3.45277e-05,3.38007e-05,7.86129e-05,0.000207302,0.00012411,0.000153358
7.95502e+08,8.31932e+08,1.61966e+08,2.07277e+07,6.6803e+07,4.29618e+07,0.00901259,0.00927849,0.0140089,0.010823,0.0106299,0.00996828,3.57036e-05,3.49144e-05,7.89999e-05,0.000220908,0.000123033,0.000153409,0.00156895,0.00156635,0.00249637,0.00195561,0.00197372,0.00166477,2.50703e-05,2.45162e-05,5.55599e-05,0.000155333,8.65108e-05,0.000107876
1.35446e+09,1.42094e+09,2.88012e+08,3.29089e+07,1.22031e+08,7.69782e+07,0.0132945,0.013715,0.0201145,0.015731,0.0160716,0.0144021,2.72706e-05,2.66249e-05,5.90867e-05,0.000174833,9.07865e-05,0.000114308,0.00269121,0.00277267,0.00408117,0.0033432,0.00318672,0.00287178,1.92134e-05,1.87585e-05,4.16665e-05,0.000123261,6.4009e-05,8.05853e-05
2.11572e+09,2.22703e+09,4.64647e+08,4.78652e+07,2.01008e+08,1.24621e+08,0.01627,0.0168899,0.0240805,0.018241,0.0192884,0.0175476,2.17817e-05,2.12297e-05,4.64531e-05,0.000144757,7.06331e-05,8.97063e-05,0.00366511,0.00383241,0.00555099,0.00423801,0.00438157,0.00395541,1.53727e-05,1.49839e-05,3.28029e-05,0.000102214,4.98719e-05,6.33411e-05
3.1648e+09,3.34344e+09,7.11478e+08,6.68157e+07,3.12503e+08,1.90794e+08,0.0162135,0.0168496,0.0234086,0.0171862,0.0189469,0.017347,1.77938e-05,1.73114e-05,3.75138e-05,0.000122443,5.66085e-05,7.24488e-05,0.00400684,0.00415492,0.00580385,0.00437821,0.00470086,0.0042151,1.25693e-05,1.22288e-05,2.65095e-05,8.65052e-05,3.99993e-05,5.11907e-05
4.45609e+09,4.72419e+09,1.01786e+09,8.80732e+07,4.51733e+08,2.72491e+08,0.0121652,0.0127373,0.0170188,0.0119953,0.0140382,0.0128605,1.49891e-05,1.45575e-05,3.13565e-05,0.000106612,4.70713e-05,6.06073e-05,0.0031044,0.0032605,0.00448189,0.0031589,0.00362052,0.00334389,1.05927e-05,1.02878e-05,2.21636e-05,7.53481e-05,3.32692e-05,4.28347e-05
2.86559e+09,3.04506e+09,6.59552e+08,5.4073e+07,2.94348e+08,1.76456e+08,0.00699649,0.0073863,0.00939595,0.00609276,0.00805905,0.00725762,1.86879e-05,1.81289e-05,3.89513e-05,0.000136024,5.8304e-05,7.53072e-05,0.001689,0.00180246,0.00235693,0.00175524,0.00197145,0.00171544,1.32093e-05,1.2814e-05,2.75333e-05,9.61546e-05,4.12139e-05,5.32304e-05
3.35232e+09,3.56851e+09,7.70438e+08,6.11708e+07,3.45491e+08,2.06783e+08,0.00332536,0.00345003,0.00416692,0.00240569,0.0036126,0.00322752,1.72757e-05,1.67438e-05,3.60356e-05,0.000127902,5.38134e-05,6.95541e-05,0.000589962,0.000634807,0.000756862,0.000464078,0.000671944,0.000610347,1.22126e-05,1.1837e-05,2.5475e-05,9.03985e-05,3.80414e-05,4.91739e-05
