piplus_counts,piminus_counts,proton_counts,antiproton_counts,kplus_counts,kminus_counts,piplus_v2_TPC,piminus_v2_TPC,proton_v2_TPC,antiproton_v2_TPC,kplus_v2_TPC,kminus_v2_TPC,piplus_v2_err_TPC,piminus_v2_err_TPC,proton_v2_err_TPC,antiproton_v2_err_TPC,kplus_v2_err_TPC,kminus_v2_err_TPC,piplus_v2_EPD,piminus_v2_EPD,proton_v2_EPD,antiproton_v2_EPD,kplus_v2_EPD,kminus_v2_EPD,piplus_v2_err_EPD,piminus_v2_err_EPD,proton_v2_err_EPD,antiproton_v2_err_EPD,kplus_v2_err_EPD,kminus_v2_err_EPD
1.35122e+08,1.4361e+08,3.50276e+07,2.27018e+06,9.8722e+06,5.3571e+06,0.00286729,0.00301605,0.00531627,0.00375968,0.00383401,0.00311287,8.52779e-05,8.27221e-05,0.000167326,0.000656999,0.000315403,0.000427341,0.000232288,0.000142977,0.000188133,-0.000118082,0.000339875,2.03108e-05,6.08336e-05,5.90059e-05,0.00011947,0.000469398,0.000225063,0.000305491
4.04118e+08,4.29953e+08,1.11269e+08,6.24448e+06,3.20669e+07,1.71386e+07,0.00444735,0.00462136,0.0068112,0.00514553,0.00541988,0.00472478,4.97923e-05,4.82774e-05,9.48344e-05,0.000400217,0.000176651,0.000241611,0.000277497,0.000293709,0.00048201,0.000552084,0.000304224,-7.18863e-05,3.51754e-05,3.41011e-05,6.70333e-05,0.000283017,0.000124871,0.000170819
6.52076e+08,6.95588e+08,1.90994e+08,9.26917e+06,5.67008e+07,2.97118e+07,0.00746888,0.00778152,0.0112584,0.00774434,0.00890032,0.00737847,3.92758e-05,3.80282e-05,7.25223e-05,0.000329239,0.000133108,0.000183879,0.000607644,0.000649923,0.000912798,0.000596338,0.000805064,0.000482441,2.76909e-05,2.68105e-05,5.11652e-05,0.000232242,9.39031e-05,0.000129717
1.1805e+09,1.26397e+09,3.63851e+08,1.54523e+07,1.11113e+08,5.70035e+07,0.0111217,0.0116061,0.0165851,0.01148,0.0132045,0.0115734,2.91645e-05,2.81845e-05,5.25042e-05,0.000254789,9.50139e-05,0.000132665,0.00121112,0.00129045,0.00184062,0.00148373,0.00141847,0.00131678,2.05801e-05,1.98893e-05,3.70688e-05,0.000179877,6.70785e-05,9.36626e-05
1.79691e+09,1.93278e+09,5.76095e+08,2.17401e+07,1.80284e+08,9.06991e+07,0.0137475,0.0143984,0.0203217,0.0136404,0.0162645,0.014142,2.36163e-05,2.27708e-05,4.16934e-05,0.000214604,7.45363e-05,0.000105093,0.00183608,0.00194019,0.00278432,0.0018943,0.00223166,0.00196742,1.66809e-05,1.60842e-05,2.94598e-05,0.000151671,5.26618e-05,7.42494e-05
2.67841e+09,2.89387e+09,8.83044e+08,3.0057e+07,2.81499e+08,1.39397e+08,0.0137436,0.0145012,0.0199266,0.0124399,0.016244,0.0142351,1.93328e-05,1.85996e-05,3.36622e-05,0.000182513,5.96241e-05,8.4731e-05,0.00216393,0.0023081,0.00319737,0.00194612,0.00255442,0.00229288,1.36628e-05,1.31446e-05,2.37953e-05,0.000128966,4.2145e-05,5.98921e-05
3.74434e+09,4.06282e+09,1.25883e+09,3.91921e+07,4.06845e+08,1.9896e+08,0.0103466,0.0109633,0.0145464,0.00836173,0.0120182,0.0105029,1.63465e-05,1.56931e-05,2.81895e-05,0.000159784,4.95852e-05,7.09076e-05,0.00176911,0.00192095,0.00256278,0.00140531,0.00213476,0.00188041,1.15558e-05,1.10935e-05,1.99299e-05,0.000112946,3.50565e-05,5.01298e-05
2.33999e+09,2.54569e+09,7.9436e+08,2.33764e+07,2.58617e+08,1.25797e+08,0.00589319,0.00628168,0.00787539,0.00430169,0.00683859,0.00569061,2.06753e-05,1.98231e-05,3.54841e-05,0.000206896,6.21869e-05,8.91701e-05,0.0010054,0.00111016,0.00145506,0.000548935,0.00120969,0.000978209,1.46178e-05,1.40148e-05,2.50886e-05,0.000146229,4.39709e-05,6.30452e-05
2.80141e+09,3.05242e+09,9.49691e+08,2.70562e+07,3.10985e+08,1.51293e+08,0.00268166,0.00286465,0.00324859,0.00159487,0.00300676,0.00218247,1.88944e-05,1.81016e-05,3.24515e-05,0.000192276,5.67099e-05,8.13089e-05,0.000349295,0.000367111,0.000446388,4.64914e-05,0.000408899,0.000374272,1.33596e-05,1.27988e-05,2.29454e-05,0.000135954,4.00969e-05,5.74898e-05
