TPC_res,TPC_res_err,EPD_res,EPD_res_err
0.0868836,0.000856703,-nan,-nan
0.120428,0.000489052,-nan,-nan
0.179986,0.000341547,-nan,-nan
0.249786,0.000232236,-nan,-nan
0.312246,0.000186455,0.0277892,0.00210639
0.344833,0.000167412,0.0410015,0.00142166
0.326973,0.000179413,0.040713,0.00145223
0.257895,0.000330189,0.021957,0.00388928
0.168254,0.000512418,-nan,-nan
