piplus_counts,piminus_counts,proton_counts,antiproton_counts,kplus_counts,kminus_counts,piplus_v2_TPC,piminus_v2_TPC,proton_v2_TPC,antiproton_v2_TPC,kplus_v2_TPC,kminus_v2_TPC,piplus_v2_err_TPC,piminus_v2_err_TPC,proton_v2_err_TPC,antiproton_v2_err_TPC,kplus_v2_err_TPC,kminus_v2_err_TPC,piplus_v2_EPD,piminus_v2_EPD,proton_v2_EPD,antiproton_v2_EPD,kplus_v2_EPD,kminus_v2_EPD,piplus_v2_err_EPD,piminus_v2_err_EPD,proton_v2_err_EPD,antiproton_v2_err_EPD,kplus_v2_err_EPD,kminus_v2_err_EPD
8.93373e+07,9.65842e+07,2.84717e+07,916120,6.13325e+06,2.87336e+06,0.00282842,0.00272208,0.00463089,0.00441727,0.00312612,0.00414621,0.000113534,0.000109172,0.000198062,0.00110821,0.000426671,0.000623768,0.000905849,0.00101593,0.00107485,0.000335328,0.00137037,0.000825722,7.48132e-05,7.19467e-05,0.000132512,0.000738446,0.000285493,0.000417075
2.27508e+08,2.46025e+08,7.82667e+07,2.1288e+06,1.73916e+07,8.006e+06,0.00388189,0.00397617,0.00548386,0.00436925,0.00480786,0.00385527,6.81576e-05,6.55369e-05,0.00011553,0.000702006,0.000245214,0.000361396,0.00125717,0.00130297,0.00198334,0.00263844,0.00143576,0.0010706,4.68782e-05,4.50822e-05,7.99308e-05,0.00048478,0.00016955,0.000249868
4.1658e+08,4.5157e+08,1.53706e+08,3.55582e+06,3.54715e+07,1.5963e+07,0.00636172,0.00664173,0.00884796,0.00654695,0.00713968,0.00615847,4.9623e-05,4.76602e-05,8.14842e-05,0.000536315,0.000169635,0.000252917,0.00182597,0.00197513,0.00286633,0.00235418,0.00216536,0.00187904,3.46449e-05,3.32758e-05,5.70347e-05,0.00037494,0.000118734,0.000176991
7.07408e+08,7.7002e+08,2.7614e+08,5.53111e+06,6.61194e+07,2.91035e+07,0.0095264,0.0100461,0.0136193,0.00937919,0.011352,0.00916243,3.78503e-05,3.62774e-05,6.04979e-05,0.000427536,0.000123652,0.000186374,0.00265729,0.00287286,0.00414344,0.00315632,0.00325773,0.00281588,2.65861e-05,2.54816e-05,4.25515e-05,0.000300546,8.69547e-05,0.000131057
1.07667e+09,1.17816e+09,4.38127e+08,7.7687e+06,1.08217e+08,4.66751e+07,0.0121098,0.0129027,0.0172474,0.0117711,0.0142513,0.0120123,3.05861e-05,2.92372e-05,4.79086e-05,0.000359877,9.63998e-05,0.000146793,0.00354148,0.00378674,0.00535019,0.00367537,0.00428451,0.00371738,2.15499e-05,2.06007e-05,3.37812e-05,0.000253697,6.79728e-05,0.000103501
1.62161e+09,1.78433e+09,6.79703e+08,1.0859e+07,1.72091e+08,7.30363e+07,0.0125499,0.0134596,0.0175337,0.0102772,0.0147337,0.0124698,2.48825e-05,2.37187e-05,3.84127e-05,0.000304031,7.63495e-05,0.00011719,0.00382054,0.00411553,0.00577172,0.00305999,0.00463523,0.00386517,1.75596e-05,1.67396e-05,2.71217e-05,0.000214594,5.39026e-05,8.27393e-05
2.29938e+09,2.54339e+09,9.83459e+08,1.43354e+07,2.53699e+08,1.06426e+08,0.0100013,0.010739,0.0133762,0.00667519,0.0114227,0.0093969,2.08767e-05,1.98477e-05,3.19134e-05,0.00026437,6.28326e-05,9.70056e-05,0.003023,0.00325242,0.00439498,0.00259925,0.00362677,0.00294553,1.47461e-05,1.40209e-05,2.25483e-05,0.000186739,4.43948e-05,6.85409e-05
1.42853e+09,1.58525e+09,6.16851e+08,8.49603e+06,1.609e+08,6.7163e+07,0.00640525,0.0068484,0.00783213,0.00418456,0.00705486,0.00566556,2.64745e-05,2.51289e-05,4.02817e-05,0.00034334,7.88738e-05,0.000122068,0.00161623,0.00177235,0.00226735,0.00106838,0.00195671,0.00154451,1.87089e-05,1.77596e-05,2.84704e-05,0.000242602,5.5744e-05,8.62806e-05
1.6927e+09,1.88195e+09,7.28888e+08,9.75436e+06,1.91598e+08,8.0097e+07,0.00332268,0.0035239,0.0035204,0.00189281,0.00351696,0.00300651,2.43143e-05,2.30568e-05,3.70498e-05,0.000320246,7.22644e-05,0.000111756,0.000536254,0.000587245,0.000693963,0.000271487,0.000624644,0.000481293,1.71869e-05,1.62996e-05,2.6191e-05,0.000226472,5.10831e-05,7.90135e-05
