piplus_counts,piminus_counts,proton_counts,antiproton_counts,kplus_counts,kminus_counts,piplus_v2_TPC,piminus_v2_TPC,proton_v2_TPC,antiproton_v2_TPC,kplus_v2_TPC,kminus_v2_TPC,piplus_v2_err_TPC,piminus_v2_err_TPC,proton_v2_err_TPC,antiproton_v2_err_TPC,kplus_v2_err_TPC,kminus_v2_err_TPC,piplus_v2_EPD,piminus_v2_EPD,proton_v2_EPD,antiproton_v2_EPD,kplus_v2_EPD,kminus_v2_EPD,piplus_v2_err_EPD,piminus_v2_err_EPD,proton_v2_err_EPD,antiproton_v2_err_EPD,kplus_v2_err_EPD,kminus_v2_err_EPD
3.98977e+07,4.36822e+07,1.59065e+07,252211,2.76523e+06,1.15314e+06,0.00190574,0.0015249,0.00449686,-0.00269443,0.00308317,0.00523504,0.000178755,0.000170726,0.000277382,0.00220177,0.000663559,0.00102617,0.000713998,0.000885362,0.000989636,0.00325181,0.00101015,0.00133632,0.000111945,0.000106991,0.000177289,0.00140849,0.000425179,0.000658298
1.14813e+08,1.25589e+08,4.9156e+07,670871,8.86102e+06,3.61792e+06,0.00298764,0.00270625,0.00411422,0.00256432,0.00372987,0.00316962,9.95671e-05,9.51729e-05,0.000150743,0.00128991,0.00035511,0.000555359,0.0012397,0.00127594,0.00162251,0.00269836,0.00163517,0.00206769,6.59913e-05,6.30921e-05,0.000100861,0.000862899,0.000237509,0.000371803
2.09412e+08,2.29455e+08,9.59692e+07,1.11969e+06,1.79895e+07,7.16962e+06,0.00453149,0.00459106,0.00624623,0.00466976,0.00517867,0.00489366,7.20046e-05,6.87703e-05,0.000105801,0.000979648,0.000244327,0.000387062,0.00187396,0.00195873,0.00271173,0.00236638,0.00220012,0.00197844,4.88613e-05,4.66813e-05,7.21795e-05,0.000668389,0.000166694,0.00026404
3.77561e+08,4.1548e+08,1.83373e+08,1.86591e+06,3.58527e+07,1.39512e+07,0.00690898,0.0073525,0.00981067,0.00492422,0.00812195,0.0067749,5.29735e-05,5.04906e-05,7.57573e-05,0.000750865,0.000171326,0.000274651,0.00260433,0.0028289,0.00407159,0.00334388,0.00304059,0.00271598,3.63912e-05,3.46907e-05,5.22159e-05,0.000517852,0.000118087,0.000189308
5.9498e+08,6.58542e+08,3.02058e+08,2.73856e+06,6.12697e+07,2.33468e+07,0.00914836,0.00989925,0.0132495,0.00728941,0.0108088,0.00922033,4.1891e-05,3.98142e-05,5.8655e-05,0.000615578,0.000130229,0.000210963,0.00336989,0.00366913,0.00524522,0.00315163,0.00412927,0.0034978,2.89886e-05,2.75543e-05,4.06834e-05,0.000427456,9.03356e-05,0.000146336
8.95874e+08,9.98056e+08,4.6924e+08,3.85168e+06,9.80918e+07,3.67583e+07,0.00949558,0.0104708,0.0136975,0.0065873,0.011326,0.00920656,3.39706e-05,3.21824e-05,4.68574e-05,0.000517077,0.000102472,0.000167419,0.00366714,0.004025,0.00565816,0.00342955,0.00454936,0.00363941,2.36245e-05,2.23826e-05,3.2642e-05,0.000360172,7.13954e-05,0.00011663
1.23107e+09,1.37984e+09,6.57714e+08,4.98992e+06,1.40806e+08,5.21237e+07,0.00730669,0.0080703,0.0103083,0.00414109,0.0086717,0.0067711,2.88797e-05,2.72777e-05,3.9459e-05,0.000452699,8.52778e-05,0.000140162,0.00289947,0.00320115,0.00438592,0.00180026,0.00358784,0.00303666,2.01533e-05,1.9036e-05,2.75715e-05,0.000316448,5.959e-05,9.79452e-05
8.12494e+08,9.14197e+08,4.37441e+08,3.16805e+06,9.49775e+07,3.5031e+07,0.00405695,0.00457601,0.00536853,0.00161889,0.00471714,0.0036393,3.54699e-05,3.34384e-05,4.82908e-05,0.000567283,0.000103634,0.000170606,0.0015327,0.00171424,0.00235491,0.0014096,0.00190615,0.0014438,2.48067e-05,2.33864e-05,3.38078e-05,0.000397239,7.25526e-05,0.000119481
9.91913e+08,1.11877e+09,5.30625e+08,3.75684e+06,1.16408e+08,4.30866e+07,0.00154642,0.00177382,0.00158849,1.90928e-05,0.00173376,0.00158028,3.20372e-05,3.01654e-05,4.37688e-05,0.000519926,9.34277e-05,0.00015359,0.000468933,0.000557329,0.000667409,0.000392927,0.000532628,0.000455219,2.24517e-05,2.11408e-05,3.06963e-05,0.000364822,6.55353e-05,0.000107721
