sqrts_GeV,centrality,Tch_GCER_MeV,Tch_GCER_syst,Tch_GCEY_MeV,Tch_GCEY_syst,muB_GCER_MeV,muB_GCER_syst,muB_GCEY_MeV,muB_GCEY_syst,muS_GCER_MeV,muS_GCER_syst,muS_GCEY_MeV,muS_GCEY_syst,gammaS_GCER,gammaS_GCER_syst,gammaS_GCEY,gammaS_GCEY_syst,R_GCEY_fm,R_GCEY_syst,chi2ndf_GCER,chi2ndf_GCEY,interpolated
27.0,05-10,155.6,5.2,160.4,3.1,143.9,7.2,151.6,9.3,34.1,3.6,37.6,6.0,0.97,0.09,1.07,0.05,5.67,0.31,1.3,1.7,False
27.0,10-20,155.8,5.2,160.7,3.0,137.7,7.0,146.3,8.8,32.0,3.6,36.3,5.8,0.96,0.09,1.03,0.05,5.22,0.29,1.2,1.6,False
27.0,20-30,157.1,5.4,162.7,3.1,131.0,6.9,140.6,8.3,31.0,3.5,35.8,5.4,0.94,0.09,0.97,0.04,4.53,0.25,1.2,1.7,False
27.0,30-40,158.9,5.7,164.7,3.4,130.3,7.2,137.4,9.1,32.4,3.6,35.9,5.6,0.88,0.09,0.89,0.04,3.89,0.23,1.0,1.4,False
27.0,40-60,160.4,5.9,165.5,3.5,120.4,7.1,127.5,8.9,31.4,3.6,34.9,5.7,0.8,0.08,0.79,0.03,3.13,0.18,0.6,1.2,False
27.0,60-80,158.3,5.8,163.1,3.9,105.8,6.8,105.2,9.5,28.6,3.4,27.4,5.9,0.64,0.06,0.62,0.03,2.27,0.15,0.4,1.5,False
39.0,00-05,156.4,5.4,159.9,3.5,103.2,7.4,104.7,11.2,24.5,3.8,23.8,8.1,0.94,0.1,1.05,0.07,6.27,0.39,0.9,1.6,False
39.0,05-10,157.0,5.5,160.3,3.4,101.9,7.2,103.1,10.9,24.8,3.7,23.9,7.8,0.94,0.1,1.03,0.07,5.92,0.35,0.7,1.2,False
39.0,10-20,156.3,5.3,160.9,3.4,101.9,6.9,103.8,10.5,24.9,3.7,25.3,7.3,0.94,0.09,1.02,0.06,5.35,0.31,0.8,1.5,False
39.0,20-30,157.9,5.5,162.6,3.4,98.2,6.7,100.5,10.1,24.9,3.6,25.8,6.5,0.92,0.09,0.97,0.05,4.65,0.27,0.8,1.4,False
