piplus_counts,piminus_counts,proton_counts,antiproton_counts,kplus_counts,kminus_counts,piplus_v2_TPC,piminus_v2_TPC,proton_v2_TPC,antiproton_v2_TPC,kplus_v2_TPC,kminus_v2_TPC,piplus_v2_err_TPC,piminus_v2_err_TPC,proton_v2_err_TPC,antiproton_v2_err_TPC,kplus_v2_err_TPC,kminus_v2_err_TPC,piplus_v2_EPD,piminus_v2_EPD,proton_v2_EPD,antiproton_v2_EPD,kplus_v2_EPD,kminus_v2_EPD,piplus_v2_err_EPD,piminus_v2_err_EPD,proton_v2_err_EPD,antiproton_v2_err_EPD,kplus_v2_err_EPD,kminus_v2_err_EPD
3.294e+08,3.45071e+08,6.81953e+07,7.90593e+06,2.38645e+07,1.47495e+07,0.00338051,0.00340107,0.00600049,0.00524064,0.00446352,0.00429761,5.6325e-05,5.5029e-05,0.000123058,0.000361989,0.000208203,0.00026475,0.000355328,0.000360652,0.000445607,0.000469966,0.000338839,0.000539084,3.89604e-05,3.80637e-05,8.56273e-05,0.000251449,0.000144751,0.000184128
6.71158e+08,7.03997e+08,1.47719e+08,1.50764e+07,5.27269e+07,3.21529e+07,0.00528946,0.00547533,0.00836771,0.00652609,0.00628324,0.00579653,3.90443e-05,3.81227e-05,8.30111e-05,0.000259919,0.000138959,0.000177959,0.000623492,0.000593498,0.000898699,0.000803157,0.000708733,0.000759003,2.72944e-05,2.66502e-05,5.81784e-05,0.000182106,9.73819e-05,0.000124694
1.19996e+09,1.26144e+09,2.79552e+08,2.51259e+07,1.02466e+08,6.13076e+07,0.00866795,0.00891342,0.0132302,0.0103451,0.0102804,0.00938354,2.90224e-05,2.83056e-05,6.00563e-05,0.00020041,9.92063e-05,0.000128268,0.00116295,0.00123644,0.00178091,0.00159232,0.00141587,0.00121001,2.04129e-05,1.9909e-05,4.22902e-05,0.000141055,6.98522e-05,9.03078e-05
2.07391e+09,2.18674e+09,5.06439e+08,4.03456e+07,1.90438e+08,1.11775e+08,0.0126402,0.0132011,0.0191804,0.0142082,0.015021,0.0134712,2.20068e-05,2.14319e-05,4.45056e-05,0.00015772,7.25883e-05,9.47605e-05,0.00204639,0.00213649,0.00315953,0.0023108,0.00238772,0.00221573,1.55269e-05,1.51211e-05,3.14201e-05,0.000111319,5.12386e-05,6.68843e-05
3.18246e+09,3.36758e+09,8.04989e+08,5.75311e+07,3.09086e+08,1.78201e+08,0.0154129,0.016097,0.0229047,0.0164363,0.0182608,0.0164084,1.77412e-05,1.72467e-05,3.52621e-05,0.000131933,5.69114e-05,7.4954e-05,0.00288705,0.00301911,0.00430123,0.00306944,0.00339592,0.00315215,1.25343e-05,1.2185e-05,2.49223e-05,9.32191e-05,4.02205e-05,5.29671e-05
4.8419e+09,5.141e+09,1.25555e+09,8.14716e+07,4.89732e+08,2.78071e+08,0.0151828,0.0159223,0.0220683,0.0152565,0.0177994,0.0159725,1.43752e-05,1.39509e-05,2.82228e-05,0.000110814,4.51951e-05,5.99811e-05,0.00316591,0.00330389,0.00464173,0.00317844,0.00368959,0.0033232,1.01619e-05,9.86195e-06,1.99553e-05,7.83436e-05,3.19529e-05,4.24026e-05
6.64947e+09,7.08121e+09,1.75149e+09,1.04509e+08,6.90849e+08,3.87785e+08,0.0112923,0.0118801,0.0159729,0.0103567,0.0131472,0.0115822,1.22648e-05,1.18851e-05,2.38954e-05,9.78296e-05,3.80481e-05,5.0788e-05,0.00249177,0.00262902,0.00357121,0.00230537,0.00288208,0.0025875,8.67142e-06,8.4029e-06,1.68957e-05,6.91664e-05,2.69027e-05,3.59058e-05
4.27812e+09,4.56409e+09,1.13384e+09,6.41244e+07,4.49969e+08,2.51185e+08,0.00648356,0.00682079,0.00891841,0.00538131,0.00742314,0.0063863,1.52906e-05,1.48037e-05,2.96998e-05,0.000124902,4.71463e-05,6.31049e-05,0.00137404,0.00145946,0.00191542,0.00109075,0.00156121,0.00140922,1.08109e-05,1.04666e-05,2.09992e-05,8.83026e-05,3.33348e-05,4.46169e-05
5.22853e+09,5.58356e+09,1.3771e+09,7.54293e+07,5.49817e+08,3.06618e+08,0.00307446,0.00319502,0.00393652,0.00214862,0.00338935,0.00291344,1.38311e-05,1.33842e-05,2.69496e-05,0.000115147,4.26503e-05,5.71135e-05,0.000501265,0.000535731,0.000637912,0.000404194,0.000489107,0.000402168,9.77895e-06,9.46315e-06,1.90549e-05,8.14215e-05,3.01567e-05,4.0382e-05
